engine	nb.particles	cycle.time
pixi	20000	1064
pixi	20000	1073
pixi	20000	1067
pixi	20000	1069
pixi	20000	1075
pixi	20000	1070
pixi	20000	1069
pixi	20000	1066
pixi	20000	1065
pixi	20000	1067
pixi	20000	1070
pixi	20000	1067
pixi	5000	1019
pixi	5000	1020
pixi	5000	1015
pixi	5000	1014
pixi	5000	1018
pixi	5000	1016
pixi	5000	1013
pixi	5000	1017
pixi	5000	1018
pixi	5000	1019
pixi	5000	1016
pixi	5000	1042
pixi	5000	1044
pixi	5000	1022
pixi	5000	1012
pixi	5000	1013
pixi	5000	1015
pixi	5000	1017
pixi	5000	1019
pixi	5000	1015
pixi	5000	1012
pixi	5000	1015
pixi	5000	1016
pixi	5000	1012
pixi	5000	1015
pixi	5000	1017
pixi	5000	1018
pixi	5000	1016
pixi	5000	1017
pixi	5000	1016
pixi	5000	1019
